Name,Cuisine,Rating,Likes,Dislike,Tips,Photos,Listed,Price Level,BeenHere,Reasons,Area
The Continental,Modern European Restaurant,7.6,52,FALSE,23,176,41,0,0,1,金鐘
Brasserie on the Eighth,French Restaurant,7.5,20,FALSE,14,56,19,3,0,0,灣仔
Dim Sum Library,Dim Sum Restaurant,7.4,47,FALSE,20,173,66,2,0,1,香港
Nadaman (灘萬),Sushi Restaurant,7.4,33,FALSE,19,182,41,2,0,1,中環
Nicholini's (意寧谷),Italian Restaurant,7.3,37,FALSE,18,133,48,2,0,1,中環
Golden Leaf (金葉庭),Chinese Restaurant,7.3,24,FALSE,11,119,61,1,0,0,中環
Ho Lee Fook (口利福),Chinese Restaurant,8.5,267,FALSE,122,402,858,1,0,1,Central District
Fresca,Vegetarian / Vegan Restaurant,8.4,30,FALSE,9,34,51,2,0,0,香港
La Vache!,French Restaurant,8.2,189,FALSE,94,322,283,2,0,1,中環
Uma Nota,Brazilian Restaurant,8.1,32,FALSE,15,57,70,2,0,1,香港
Ho Lee Fook (口利福),Chinese Restaurant,8.5,267,FALSE,122,402,858,1,0,1,Central District
Fresca,Vegetarian / Vegan Restaurant,8.4,30,FALSE,9,34,51,2,0,0,香港
La Vache!,French Restaurant,8.2,189,FALSE,94,322,283,2,0,1,中環
Uma Nota,Brazilian Restaurant,8.1,32,FALSE,15,57,70,2,0,1,香港
Brickhouse,Mexican Restaurant,8.2,251,FALSE,119,479,595,1,0,1,中環
Sake Bar Ginn,Japanese Restaurant,8.7,32,FALSE,11,90,193,2,0,1,中環
Carbone,Italian Restaurant,8.5,136,FALSE,64,234,301,2,0,1,中区
Sushi Kuu (壽司喰),Sushi Restaurant,7.9,140,FALSE,73,513,356,3,0,1,中環
Toritama (酉玉),Japanese Restaurant,8.1,42,FALSE,16,103,93,2,0,1,中環
Tokio Joe,Japanese Restaurant,7.9,49,FALSE,34,114,95,2,0,1,中環
Hard Rock Café Hong Kong,American Restaurant,7.9,344,FALSE,102,1329,117,2,0,1,中区
Hanagushi Yakitori (花串日本料理),Japanese Restaurant,7.6,30,FALSE,11,88,22,2,0,0,中環
Kitcho Sushi,Sushi Restaurant,7.4,12,FALSE,3,38,9,2,0,0,香港
Okra Hong Kong,Japanese Restaurant,9.2,51,FALSE,26,164,259,2,0,1,Sai Ying Pun
Chachawan,Thai Restaurant,8.7,324,FALSE,103,487,683,2,0,1,Sheung Wan
Frantzén's Kitchen by Björn Frantzén,Scandinavian Restaurant,8.7,28,FALSE,10,98,85,2,0,0,香港
Chautari Restaurant,Indian Restaurant,8.6,57,FALSE,33,98,209,2,0,1,Sheung Wan
MANA! Café,Vegetarian / Vegan Restaurant,8.4,55,FALSE,14,49,112,2,0,1,Sheung Wan
Yuk Kin Fast Food (郁健快餐),Hong Kong Restaurant,8.1,20,FALSE,12,49,57,0,0,0,Sheung Wan
Namaste Kitchen,Indian Restaurant,8,15,FALSE,7,23,10,2,0,0,
Shung Hing Chiu Chow Seafood Restaurant (尚興潮州飯店),Cantonese Restaurant,8,48,FALSE,17,180,102,0,0,1,Sheung Wan
Trattoria del Pescatore,Italian Restaurant,8,9,FALSE,4,26,16,2,0,0,香港
La Cantoche,French Restaurant,7.8,34,FALSE,21,114,89,3,0,1,香港
Traditional Beijing Dumpling House (老北方餃子館),Dumpling Restaurant,7.7,6,FALSE,3,26,14,1,0,0,Sheung Wan
Reserva Ibérica,Tapas Restaurant,7.6,6,FALSE,2,17,3,3,0,0,Sheung Wan
ABC Kitchen,French Restaurant,7.4,45,FALSE,33,217,86,3,0,1,Sheung Wan
Little Birdy,Restaurant,7.4,10,FALSE,1,22,16,2,0,0,Sai Ying Pun
Old Bailey,Shanghai Restaurant,8.2,12,FALSE,4,62,36,0,0,0,香港
Sumac,Middle Eastern Restaurant,8,55,FALSE,30,42,105,2,0,1,中環
Chôm Chôm,Vietnamese Restaurant,8.7,220,FALSE,95,283,424,2,0,1,中環
Little Bao,Asian Restaurant,8.6,257,FALSE,111,479,915,2,0,1,中環
Posto Pubblico,Italian Restaurant,8.4,204,FALSE,107,302,461,3,0,1,中環
The Spice House,Thai Restaurant,8.4,57,FALSE,32,72,75,2,0,1,香港
Three Blind Mice,Italian Restaurant,8.2,13,FALSE,3,16,9,2,0,0,灣仔
Ham and Sherry,Spanish Restaurant,8.2,131,FALSE,52,182,230,2,0,1,香港
Kanizen (蟹膳),Japanese Restaurant,8.2,26,FALSE,12,187,59,2,0,0,香港
22 Ships,Tapas Restaurant,7.9,192,FALSE,113,652,612,3,0,1,Hong Kong
Yu Chuan Club (渝川菜館),Szechuan Restaurant,7.8,17,FALSE,4,34,19,0,0,0,灣仔
Deng G (鄧記),Chinese Restaurant,7.8,11,FALSE,2,28,26,1,0,0,香港
My Cup of Tea (我杯茶),Hong Kong Restaurant,7.8,7,FALSE,5,20,9,0,0,0,香港
Sun King Yuen Curry Restaurant (新景園咖喱小廚),Hong Kong Restaurant,7.7,32,FALSE,30,97,68,0,0,1,灣仔
Santorini Greek Taverna,Greek Restaurant,7.9,10,FALSE,3,49,12,2,0,0,香港
Ichu Peru,Peruvian Restaurant,8.1,17,FALSE,3,72,26,2,0,0,香港
Brass Spoon,Asian Restaurant,8.1,27,FALSE,10,36,55,2,0,0,中環
Agehan あげ半,Japanese Restaurant,7.8,18,FALSE,10,48,20,2,0,0,中環
Sushi Sei (誠),Sushi Restaurant,7.6,18,FALSE,3,77,11,2,0,0,中環
Tim Ho Wan (添好運),Dim Sum Restaurant,7.6,467,FALSE,235,1592,1222,1,0,1,中環
Crystal Jade La Mian Xiao Long Bao (翡翠拉麵小籠包),Shanghai Restaurant,7.4,156,FALSE,106,416,170,0,0,1,香港
Mott 32 (卅二公館),Dim Sum Restaurant,9,412,FALSE,130,1010,1287,3,0,1,香港
Mott 32 (卅二公館),Dim Sum Restaurant,9,412,FALSE,130,1010,1287,3,0,1,香港
City Hall Maxim's Café (大會堂美心餐廳),Hong Kong Restaurant,8.2,26,FALSE,3,60,58,0,0,0,中環
Peking Garden (北京樓),Beijing Restaurant,8,112,FALSE,31,266,167,0,0,1,"Central, Central and Western District"
Green Common,Vegetarian / Vegan Restaurant,7.8,11,FALSE,5,20,15,2,0,0,中区
Zuma,Japanese Restaurant,8.7,329,FALSE,140,591,726,2,0,1,中環
Portico,Italian Restaurant,8.1,6,FALSE,2,7,9,2,0,0,香港
China Tang (唐人館),Chinese Restaurant,8,47,FALSE,10,102,85,1,0,1,中区
Mak Mak,Thai Restaurant,7.9,50,FALSE,15,85,69,2,0,1,
